User,Name,Featured In - Page,Featured In - Link,Quality Image,Featured Image,Valued Image
Tagooty,Paddy SE Sirudavoor Jan21 D72 19734,Sirudavoor lake,https://en.wikipedia.org/wiki/Sirudavoor_lake,,,
Tagooty,Electric Lines Sirudavoor Jan21 D72 19813,Sirudavoor lake,https://en.wikipedia.org/wiki/Sirudavoor_lake,,,
Tagooty,Wetlands Sirudavoor Jan21 D72 19816,Sirudavoor lake,https://en.wikipedia.org/wiki/Sirudavoor_lake,,,
Tagooty,White-throated kingfisher Sirudavoor Jan21 D72 19791,Sirudavoor lake,https://en.wikipedia.org/wiki/Sirudavoor_lake,,,
Tagooty,Blue tailed Bee eater back Sirudavoor Jan21 D72 19754,Sirudavoor lake,https://en.wikipedia.org/wiki/Sirudavoor_lake,,,
Tagooty,IIT Mandi South Campus under construction Dec 2012 DSC 0923e,ভারতীয় প্রযুক্তি প্রতিষ্ঠান মণ্ডী,https://bn.wikipedia.org/wiki/%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4%E0%A7%80%E0%A6%AF%E0%A6%BC_%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AF%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF_%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A4%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%A0%E0%A6%BE%E0%A6%A8_%E0%A6%AE%E0%A6%A3%E0%A7%8D%E0%A6%A1%E0%A7%80,,,True
Tagooty,IIT Mandi South Campus under construction Dec 2012 DSC 0923e,IIT Mandi,https://en.wikipedia.org/wiki/IIT_Mandi,,,True
Tagooty,IIT Mandi South Campus under construction Dec 2012 DSC 0923e,இந்திய தொழில்நுட்பக் கழகம் மண்டி,https://ta.wikipedia.org/wiki/%E0%AE%87%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%AF_%E0%AE%A4%E0%AF%8A%E0%AE%B4%E0%AE%BF%E0%AE%B2%E0%AF%8D%E0%AE%A8%E0%AF%81%E0%AE%9F%E0%AF%8D%E0%AE%AA%E0%AE%95%E0%AF%8D_%E0%AE%95%E0%AE%B4%E0%AE%95%E0%AE%AE%E0%AF%8D_%E0%AE%AE%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AE%BF,,,True
Tagooty,IIT Mandi South Campus under construction Dec 2012 DSC 0923e,Q92894363,https://www.wikidata.org/wiki/Q92894363,,,True
Tagooty,Sirudavoor Bus Stop TN Jan21 D72 19823,Q23734474,https://www.wikidata.org/wiki/Q23734474,,,
